Schema,Table,Description,Row Count,Dependency Level,Confidence %,User Approved,Business Domains,Inferred Purpose
Production,Location,"Stores manufacturing work center and physical location information within a production facility. Each record represents a distinct area or station in the manufacturing plant (e.g., Final Assembly, Paint Shop, Frame Welding) along with its associated cost rate and available capacity hours. The table contains 14 locations with non-sequential IDs (1-7 and 10-60), suggesting locations were added over time or grouped by functional area. Of these, 7 locations (IDs 10, 20, 30, 40, 45, 50, 60) serve as active work centers used in production routing, each with a fixed standard cost rate and defined capacity hours; the remaining 7 (IDs 1-7) function primarily as storage/inventory areas with zero cost rate and zero availability. Location 50 is the most frequently used work center in production routing. All 14 locations are actively used for product inventory storage. This is a foundational lookup/reference table used to track where manufacturing operations are performed and where inventory is physically stored.",14,0,98,No,,
Production,Product,"The central product catalog table for Adventure Works Cycles, storing all products sold, manufactured, or used as components. Each row represents a single product with its full definition including pricing, physical attributes, manufacturing details, inventory parameters, and lifecycle dates. This table serves as the master reference for all product-related operations across sales, purchasing, production, and inventory management.",504,2,99,No,,
Production,ProductCategory,"A top-level lookup table that defines the four high-level product categories used to classify all products in the AdventureWorks business: Bikes, Components, Clothing, and Accessories. It serves as the root of the product classification hierarchy, with 37 subcategories distributed beneath it — Bikes (Mountain Bikes, Road Bikes, Touring Bikes), Components (14 subcategories including frames, brakes, wheels, and drivetrain parts), Clothing (Caps, Gloves, Jerseys, Shorts, Socks, Tights, Vests), and Accessories (12 subcategories including helmets, lights, locks, and hydration gear) — and ultimately individual products hanging beneath those subcategories.",4,0,99,No,,
Production,ProductCostHistory,"Stores the historical standard cost of products over time, tracking how manufacturing/acquisition costs have changed across different date ranges. Each record represents a product's standard cost for a specific effective period, enabling cost analysis and historical reporting. This is the Production.ProductCostHistory table in the AdventureWorks database.",395,0,97,No,,
Production,ProductDescription,"Stores multilingual product descriptions used across the Adventure Works product catalog. Each row contains a text description of a product or product component, written in a specific language. This table serves as a centralized repository of localized description text associated with product models across different cultures/languages. Notably, each description is uniquely assigned to exactly one product model-culture combination — descriptions are not shared or reused across different product models or cultures, making each row effectively a dedicated description for a specific model-language pairing.",762,0,97,No,,
Production,ProductDocument,"A junction/bridge table that associates products with their related technical documents. It establishes a many-to-many relationship between products in the Production.Product catalog and documents stored in the Production.Document system, enabling each product to be linked to multiple documents (such as assembly instructions, maintenance guides, or product manuals) and each document to be associated with multiple products.",32,0,97,No,,
Production,ProductInventory,"Tracks the physical inventory of products stored at specific warehouse locations within the manufacturing facility. Each record represents a unique combination of product and storage location, capturing the exact shelf and bin where the product is stored along with the current quantity on hand. This table is the operational inventory ledger for Adventure Works Cycles' production warehouse.",1069,0,97,No,,
Production,ProductListPriceHistory,"Stores the historical and current list price records for products over time, tracking price changes with effective date ranges. Each record captures the list price for a specific product during a defined period (StartDate to EndDate), enabling price history tracking and auditing. This is the Production.ProductListPriceHistory table in the AdventureWorks database.",395,0,97,No,,
Production,ProductModel,"Stores product model definitions for Adventure Works Cycles, serving as a template or blueprint that groups related product variants. Each record represents a distinct product model (e.g., 'Road-450', 'Mountain-300') and may include rich XML-based catalog descriptions for marketing purposes and XML-based manufacturing/assembly instructions for production use. A subset of models (e.g., IDs 7, 10, 47, 48, 67) have associated technical illustrations, with some complex models (IDs 47 and 48) linked to multiple illustrations, suggesting these represent products with more intricate assembly or component diagrams. Nearly all product models (127 of 128) have localized multilingual descriptions, indicating broad internationalization support across the product catalog. Of the 128 product models defined, 119 (93%) are actively referenced by finished goods and major components in the product catalog, while approximately 211 raw components, fasteners, and paint products (~41.8% of all products) are not associated with any product model — indicating that product models apply primarily to structured, finished or semi-finished products rather than undifferentiated raw materials.",128,0,99,No,,
Production,ProductModelIllustration,"A junction/bridge table that establishes many-to-many relationships between product models and their associated technical illustrations. Each record links a specific product model (from Production.ProductModel) to a specific illustration diagram (from Production.Illustration), enabling a product model to have multiple illustrations and an illustration to be reused across multiple product models. This table supports AdventureWorks' library of reusable technical diagrams used in product documentation, including the visual aids referenced within manufacturing instruction XML (e.g., 'illustration diag 3, 4, 5, 7'). Illustrations are stored separately in Production.Illustration and associated at the product model level through this junction table.",7,0,99,No,,
Production,ProductModelProductDescriptionCulture,"A junction/bridge table that associates product models with their localized descriptions for specific cultures/languages. Each row links a product model (from Production.ProductModel) to a specific text description (from Production.ProductDescription) in a particular language/culture (from Production.Culture), enabling multilingual product catalog support across six supported languages (English, French, Hebrew, Arabic, Chinese Traditional, Thai). Notably, the same ProductDescriptionID can be reused across multiple product models, meaning description text is shared rather than unique per model. This localized text system complements the XML-based CatalogDescription column in ProductModel, providing structured, translatable plain-text descriptions separate from the richer XML catalog data.",762,0,99,No,,
Production,ProductPhoto,"Stores product photo images for the AdventureWorks product catalog. Each record contains thumbnail and large-format GIF images of products, along with their file names and a modification timestamp. With only 42 distinct photos serving 504 products, photos are shared across product variants (e.g., different sizes or colors of the same model) rather than being unique per SKU. This table serves as the central repository for reusable product visual assets used in the e-commerce and catalog systems, linked to specific products through the Production.ProductProductPhoto junction table.",101,0,99,No,,
Production,ProductProductPhoto,"A junction/bridge table that associates products with their photos in a many-to-many relationship. Each record links a specific product (from Production.Product) to a specific photo (from Production.ProductPhoto), indicating which photos are assigned to which products. The 'Primary' flag (always true in this dataset) suggests this table supports designating a primary/default photo per product.",504,0,97,No,,
Production,ProductReview,"Stores customer-submitted product reviews for Adventure Works Cycles products. Each record captures a reviewer's identity, contact information, rating, written comments, and the date the review was submitted. This table enables the company to collect and display customer feedback on specific products, supporting product quality assessment and customer engagement.",4,0,98,No,,
Production,ProductSubcategory,"A lookup/reference table that defines the second level of the product classification hierarchy in AdventureWorks, sitting between the top-level ProductCategory and individual products. It contains 37 subcategories (e.g., Mountain Bikes, Road Bikes, Jerseys, Helmets, Bottom Brackets) that group related products within one of four parent categories: Bikes, Components, Clothing, and Accessories. All 37 subcategories are actively used by products, confirming there are no orphaned entries. Notably, subcategory assignment is optional for products — approximately 295 products (~41.8%) carry a null ProductSubcategoryID, indicating that raw materials, unfinished components, or internally-used items may exist outside this classification hierarchy.",37,1,99,No,,
Production,ScrapReason,"A lookup/reference table that stores the predefined reasons why manufactured products are scrapped or rejected during the production process. Each record represents a distinct cause of product failure or defect, used to categorize scrap events in manufacturing work orders. The table contains exactly 16 active scrap reason categories (IDs 1-16), all of which are actively referenced in production work orders. Despite a large volume of approximately 72,591 work orders, only roughly 1% result in scrap events, indicating a high manufacturing yield rate. All 16 scrap reasons see real-world usage, confirming this is a fully utilized reference dataset rather than a partially adopted one.",16,0,99,No,,
Production,TransactionHistory,"Records every inventory and cost transaction affecting products in the Adventure Works manufacturing environment. Each row captures a single transaction event — a sale (S), work order (W), or purchase (P) — that changes product inventory levels or costs. This table serves as the active transaction history log, tracking quantity movements and actual costs for products across all business operations, linked to both the product catalog and manufacturing work orders.",113443,0,97,No,,
Production,TransactionHistoryArchive,"Records every inventory transaction affecting product stock levels in the Adventure Works manufacturing environment. Each row captures a single transaction event — whether a product was sold (S), consumed in a work order/manufacturing process (W), or purchased (P) — along with the quantity moved, the actual cost, and a reference to the originating order. This table serves as the detailed audit trail for all product inventory movements.",89253,0,97,No,,
Production,UnitMeasure,"A lookup/reference table storing standardized units of measure used across both manufacturing and purchasing processes. Each record defines a unit of measure with a short 3-character code and descriptive name. The table serves dual purposes: in manufacturing/BOM contexts, only 3 codes are actively used (EA for discrete countable parts, OZ for weight-based materials, IN for inch-based dimensions), with EA being overwhelmingly dominant; in purchasing contexts, 7 codes represent vendor packaging and ordering units (CTN, EA, CAN, CS, GAL, DZ, PAK). While the table contains 38 total unit codes, only 10 distinct codes are actively referenced across the database, suggesting the remaining entries are pre-loaded reference data available for future use. The table has no foreign key dependencies, confirming its role as a foundational shared reference across production and procurement domains.",38,0,98,No,,
Production,WorkOrder,"The Production.WorkOrder table stores manufacturing work orders for Adventure Works Cycles, tracking the production lifecycle of manufactured products. Each record represents a single work order authorizing the production of a specific quantity of a product, capturing planned and actual production quantities, scrap information, and key dates (start, end, due). It serves as the central hub for production planning and execution tracking within the manufacturing schema.",72591,1,98,No,,
Production,WorkOrderRouting,"Stores work order routing information that tracks the manufacturing operations performed at specific work center locations for each work order. Each record represents a specific operation step (identified by OperationSequence) performed at a particular work center (LocationID) for a given work order, capturing both planned and actual scheduling dates, resource hours consumed, and costs incurred. The LocationID foreign key links to Production.Location, where CostRate and Availability attributes are used to calculate actual operation costs and determine scheduling feasibility for each routing step. This table enables production scheduling, shop floor tracking, and cost variance analysis across manufacturing operations.",67131,0,98,No,,
Purchasing,ProductVendor,"Purchasing.ProductVendor is a junction/association table that defines the purchasing relationship between products and their approved vendors (suppliers). For each product-vendor combination, it stores procurement parameters including lead times, pricing, order quantity constraints, and the unit of measure used when ordering. This table enables the purchasing department to know which vendors supply which products, at what price, and under what ordering terms. The MinOrderQty and MaxOrderQty columns actively constrain purchase order quantities — observed dominant order quantities in related purchase order data (e.g., 3 and 550) reflect these bounds. Additionally, the table supports vendor quality evaluation at the product level, as rejection quantities tracked in related purchasing transactions can be traced back to specific product-vendor pairings defined here.",460,0,98,No,,
Purchasing,PurchaseOrderDetail,"Stores the individual line items (detail records) for purchase orders issued by AdventureWorks to its vendors. Each row represents a single product line within a purchase order, capturing the product ordered, quantities (ordered, received, rejected, and stocked), pricing, due date, and calculated line total. This is the child table to Purchasing.PurchaseOrderHeader and together they form the complete purchase order document.",8845,1,99,No,,
Purchasing,PurchaseOrderHeader,"Stores the header-level information for purchase orders issued by AdventureWorks to its vendors. Each record represents a single purchase order transaction, capturing the ordering employee, vendor, shipping method, key dates, and financial totals (subtotal, tax, freight, and total due). This is the parent table for Purchasing.PurchaseOrderDetail, which stores the individual line items of each order. With an average of approximately 2.2 line items per order (8,845 detail lines across 4,012 orders), AdventureWorks typically issues focused purchase orders with a small number of distinct products, consistent with ordering from specialized vendors with limited product ranges.",4012,0,99,No,,
Purchasing,ShipMethod,"A lookup/reference table that defines the available shipping methods used in the AdventureWorks system. Each record represents a distinct shipping carrier or service option, including its base shipping cost and per-unit rate. This table serves as a foundational reference for both purchase orders and sales orders. All 5 shipping methods are actively used in purchasing (purchase orders utilize the full range of shipping options), while sales orders use only 2 of the 5 available methods (ShipMethodID values 1 and 5), confirming that the sales channel operates with a significantly more restricted set of shipping options compared to procurement, which has broader shipping flexibility.",5,0,98,No,,
Purchasing,Vendor,"Stores information about vendors (suppliers) that the company purchases products from. Each record represents a unique vendor with their account details, credit rating, preferred status, and purchasing web service URL. This table is part of the Purchasing domain and serves as the central vendor master record, referenced by purchase orders and product-vendor relationships. Notably, the table functions as a vendor registry that includes not only active vendors but also inactive or candidate vendors: approximately 18 of the 104 vendors have no active product supply relationships defined, and the same 18 vendors have never had a purchase order placed against them, suggesting they may be deprecated, inactive, or prospective vendors retained for reference purposes.",104,0,99,No,,
Sales,CountryRegionCurrency,"A junction/bridge table that maps countries and regions to their corresponding currencies, establishing a many-to-many relationship between geographic regions and the currencies used within them. This table supports multi-currency sales operations by defining which currency is associated with each country or region, enabling proper currency handling for international transactions.",109,0,97,No,,
Sales,CreditCard,"Stores credit card information associated with individual customers for sales transactions. Each record represents a unique credit card tied to exactly one person, containing the card type, masked/tokenized card number, and expiration details. The 1:1 relationship with Sales.PersonCreditCard confirms that each credit card belongs to a single customer rather than serving as a shared or reusable payment reference. This table functions as a per-customer payment instrument store within the Sales domain, supporting payment processing for orders.",19118,0,99,No,,
Sales,Currency,"A reference/lookup table storing world currencies—both current and historical/legacy—identified by their standard ISO 4217 three-letter currency codes and full names. The table intentionally retains obsolete currencies (e.g., Deutsche Mark/DEM, French Franc/FRF, Austrian Schilling/ATS, Finnish Markka/FIM, Slovak Koruna/SKK, Spanish Peseta/ESP, Latvian Lats/LVL) to support historical transaction records, exchange rate history, and country-currency mappings for nations that have since adopted the Euro or changed currencies. This foundational table supports multi-currency financial transactions and reporting within the sales domain, serving as the authoritative currency registry for both Sales.CountryRegionCurrency (country-to-currency mappings) and Sales.CurrencyRate (exchange rates, including self-referential USD-to-USD rates).",105,0,99,No,,
Sales,CurrencyRate,"Stores daily currency exchange rates used to convert monetary values between USD and various foreign currencies. Each record captures the exchange rate for a specific currency pair on a given date, including both an average rate for the day and an end-of-day rate. This table supports multi-currency sales transactions by providing the conversion rates referenced by sales orders. Approximately 44.5% of sales orders involve international customers requiring currency conversion, reflecting a substantial global customer base, while the remaining 55.5% are domestic USD transactions that do not reference this table.",13532,0,98,No,,
Sales,Customer,"Stores customer records for the AdventureWorks sales system. Each record represents a unique customer entity, which can be either an individual person (linked to Person.Person) or a business/store (linked to Sales.Store), or both. The table assigns each customer a unique account number and associates them with a sales territory. It serves as the central customer registry referenced by sales orders, with customers typically placing multiple orders over time (averaging approximately 1.65 orders per customer based on order history).",19820,1,98,No,,
Sales,PersonCreditCard,"A junction/bridge table that establishes a many-to-many relationship between persons (customers) and their credit cards. Each record links a specific person (identified by BusinessEntityID) to a specific credit card (identified by CreditCardID), enabling customers to have credit cards on file for sales transactions. This table is part of the AdventureWorks sales payment infrastructure and is referenced by Sales.SalesOrderHeader to associate orders with payment methods.",19118,0,98,No,,
Sales,SalesOrderDetail,"Stores individual line items for sales orders in the AdventureWorks sales system. Each row represents a single product ordered within a sales order, capturing the product, quantity, pricing, applicable special offer/discount, carrier tracking information, and computed line total. This is the detail/child table to Sales.SalesOrderHeader, enabling multi-product orders where each product line is tracked independently with its own pricing and discount information.",121317,1,99,No,,
Sales,SalesOrderHeader,"Stores the header-level information for each sales order in the AdventureWorks sales system. Each row represents a single sales transaction initiated by a customer, capturing order identification, dates, status, financial totals, payment details, shipping information, and the associated salesperson and territory. This table is the central hub of the sales order lifecycle, referenced by order line items (Sales.SalesOrderDetail) and sales reasons (Sales.SalesOrderHeaderSalesReason).",31465,2,99,No,,
Sales,SalesOrderHeaderSalesReason,"A junction/bridge table that associates sales orders with the reasons customers made those purchases. Each row links a specific sales order (from Sales.SalesOrderHeader) to a specific sales reason (from Sales.SalesReason), enabling many-to-many relationships between orders and purchase motivations. This table supports sales analysis by tracking why customers bought products.",27647,0,98,No,,
Sales,SalesPerson,"Stores sales performance and compensation data for individual sales representatives at AdventureWorks. Each record represents one salesperson employee (only 17 total), capturing their assigned sales territory, sales quota, bonus amount, commission percentage, year-to-date sales figures, and prior year sales. This table serves as the central record for the sales force, linking HR employee records to sales-specific metrics and territory assignments. Notably, these salespeople handle only a minority of total order volume — approximately 12.2% of orders are attributed to a salesperson, while the remaining ~87.8% are online/direct orders with no salesperson assignment. This means the sales team focuses on a select segment of business (likely B2B or key account sales) rather than the dominant online channel.",17,1,98,No,,
Sales,SalesPersonQuotaHistory,"Stores the historical record of sales quota assignments for each salesperson over time. Each row captures a specific quota amount assigned to a salesperson (identified by BusinessEntityID) for a particular quota period (QuotaDate). This table tracks how sales targets have changed across multiple fiscal periods from 2011 through 2014, enabling analysis of quota trends and salesperson performance targets over time.",163,0,98,No,,
Sales,SalesReason,"A lookup/reference table that stores predefined reasons why customers make purchases. It categorizes sales motivations (e.g., price, quality, advertising) into types (Marketing, Promotion, Other) and is used to tag sales orders with one or more reasons for purchase. Of the 10 defined reasons, only 7 are actively used in practice (IDs: 1, 2, 4, 5, 6, 9, 10), with Reason ID 1 being the most frequently assigned. The gaps in IDs (3, 7, 8) suggest those reasons were retired or deleted. A single sales order can be attributed to multiple reasons simultaneously via the junction table Sales.SalesOrderHeaderSalesReason.",10,0,99,No,,
Sales,SalesTaxRate,"Stores sales tax rates applicable to different states/provinces, categorized by tax type. Each row defines a named tax rate (e.g., 'California State Sales Tax', 'Canadian GST') associated with a specific geographic region and a tax type classification. This table supports tax calculation during sales order processing in the AdventureWorks system.",29,0,98,No,,
Sales,SalesTerritory,"Stores sales territory definitions used to organize and track sales performance across geographic regions. The table defines exactly 10 territories, each representing a named geographic area (e.g., Southwest, United Kingdom, Australia) associated with a country/region and a broader sales group (North America, Europe, Pacific). Territories are broad geographic groupings that span multiple states/provinces and, in some cases, multiple countries (e.g., US states, Canadian provinces, Pacific island territories, and European countries). The table tracks year-to-date and prior-year sales and cost figures for each territory. All 10 territories are actively used — each has at least one assigned salesperson and an active customer base, with some territories supporting multiple salespeople for shared or overlapping coverage. Territory usage is confirmed across 31,465 sales orders, demonstrating full geographic coverage and reflecting relative sales volume by region. It serves as a foundational reference for assigning salespeople, customers, and orders to geographic sales regions.",10,0,99,No,,
Sales,SalesTerritoryHistory,"Tracks the historical assignment of sales representatives to sales territories over time. Each record captures a specific period during which a salesperson (identified by BusinessEntityID) was assigned to a particular sales territory (identified by TerritoryID), with StartDate and EndDate defining the duration of that assignment. This table serves as an audit trail of territory assignments, enabling analysis of how salespeople have moved between territories over time.",17,0,97,No,,
