Schema,Table,Description,Row Count,Dependency Level,Confidence %,User Approved,Business Domains,Inferred Purpose
Person,BusinessEntity,"A foundational base table that implements a Table-per-Type inheritance pattern, providing a unique identity (BusinessEntityID) for all participants in the system, including individuals (People) and organizations (Vendors and Stores). It serves as a polymorphic root, centralizing shared associations such as physical addresses and contact persons across these diverse entity types.",20777,0,100,No,,
Person,BusinessEntityAddress,"A junction table that associates business entities (such as individuals, stores, or vendors) with specific physical addresses and defines the purpose of that address (e.g., Home, Billing, Shipping).",19614,0,100,No,,
Person,BusinessEntityContact,"A junction table that associates individuals (Person.Person) with business entities (Person.BusinessEntity), such as stores or vendors, and defines their specific contact roles (Person.ContactType).",909,0,100,No,,
Person,ContactType,"A lookup table that defines a standardized list of professional roles or job titles (e.g., 'Sales Representative', 'Purchasing Manager') for individuals acting as contacts for business entities. While the table provides a comprehensive set of categories, usage patterns indicate that only a specific subset of these roles (7 out of 20) is actively associated with business entity contacts in the current system state.",20,0,100,No,,
Person,CountryRegion,"A master lookup table storing standardized ISO 3166-1 alpha-2 country codes and names. It serves as the top-level entity in the global geographic hierarchy, anchoring both administrative subdivisions (states and provinces) and organizational structures (sales territories). This central role facilitates standardized address management, currency mapping, and regional financial reporting by allowing countries to be subdivided into distinct logistical and commercial zones.",238,0,100,No,,
Person,EmailAddress,Stores email addresses for individuals identified in the Person.Person table. It allows for the association of one or more electronic mail contact points with a specific business entity (person).,19972,1,100,No,,
Person,Password,"Stores security credentials, specifically hashed passwords and their corresponding salts, for individuals defined in the Person.Person table. This table enables secure authentication by ensuring plain-text passwords are never stored in the database.",19972,0,100,No,,
Person,Person,"The central identity provider and unified directory for all individuals associated with the business, including employees, vendor contacts, and customers. It functions as a foundational 'base class' where generic Person records are 'promoted' to specialized transacting entities (via the Customer table) or organizational roles (via the Employee table). The table ensures a consistent identity across the system—often evidenced by universal corporate-style email assignments for nearly 20,000 records—and serves as the primary anchor for security credentials, corporate hierarchy, and financial associations via the BusinessEntityID.",19972,0,98,No,,
Person,PersonPhone,"Stores telephone numbers associated with individuals (persons) in the database. It acts as a bridge between the central person records and their various contact numbers, categorizing each number by type (e.g., Cell, Home, Work).",19972,0,95,No,,
Person,PhoneNumberType,"A lookup table that defines the three standard categories for phone numbers used by the organization: Cell, Home, and Work. It provides the exhaustive set of labels for the Person.PersonPhone table.",3,0,100,No,,
Person,StateProvince,"The Person.StateProvince table serves as a geographical lookup for sub-national administrative divisions such as states, provinces, and regions. It maps these entities to their parent countries and assigns them to specific sales territories for organizational and tax purposes.",181,1,100,No,,
Production,BillOfMaterials,"Stores the hierarchical structure of manufactured products, defining which components and sub-assemblies are required to create a parent product. It includes quantity requirements, unit measures, and effective date ranges for versioning product configurations.",2679,0,100,No,,
Production,Culture,"A lookup table that defines the specific languages and regions (cultures) supported for localized product information, such as product descriptions. The system is configured to support a specific set of locales: English, French, Arabic, Thai, Hebrew, and Traditional Chinese.",8,0,100,No,,
Production,Document,"Stores technical documentation, product manuals, and instructional guides organized in a hierarchical folder structure. It acts as a central repository for binary document files and their associated metadata used in the manufacturing and maintenance of products. The system is designed for high reusability, where a small set of standardized documents supports a significantly larger number of distinct product models and components.",13,0,98,No,,
Production,Illustration,"Stores modular and reusable vector graphic illustrations in XML (XAML) format. These illustrations provide visual diagrams, assembly instructions, or component layouts that can be shared across multiple product models and manufacturing lines.",5,0,100,No,,
Production,Location,"A lookup table defining the physical areas and functional work centers (e.g., assembly lines, storage, specialized shops) within the manufacturing facility. It stores operational metadata, including hourly cost rates and capacity availability, which are used to calculate planned and actual costs in production routing and to track inventory across at least 14 distinct functional areas.",14,0,100,No,,
Production,Product,"The Production.Product table serves as the central master catalog for all items within the organization, encompassing raw materials, sub-assembly components, and finished goods sold to customers. It stores comprehensive metadata including physical attributes (size, weight, color), financial data (cost, list price), manufacturing indicators, and inventory management thresholds.",504,2,100,No,,
Production,ProductCategory,"A highly consolidated top-level lookup table that serves as the root of the product hierarchy. It defines the four primary classifications (Bikes, Components, Clothing, and Accessories) that encompass all 37 product subcategories, organizing the entire inventory into broad functional areas.",4,0,100,No,,
Production,ProductCostHistory,"This table, Production.ProductCostHistory, tracks the historical changes in the standard cost of products over time. It allows the business to maintain a record of what a product cost to manufacture or purchase during specific date ranges, which is essential for accurate financial reporting, inventory valuation, and margin analysis.",395,0,100,No,,
Production,ProductDescription,"Stores unique localized marketing and technical descriptions for products. Each entry provides a specific description for a product model in a particular language. Although the schema uses a junction table for mapping, the data indicates that descriptions are not shared; every record is purpose-built for a single product model and culture combination.",762,0,98,No,,
Production,ProductDocument,"A junction table that creates a many-to-many relationship between products and their associated technical documentation, such as manuals, specifications, or maintenance guides.",32,0,100,No,,
Production,ProductInventory,"The Production.ProductInventory table tracks the real-time stock levels of products across various physical locations, such as warehouses and manufacturing work centers. It provides granular detail by specifying the exact shelf and bin where items are stored, facilitating precise inventory management and order fulfillment.",1069,0,100,No,,
Production,ProductListPriceHistory,"This table tracks the historical changes of product list prices over time. It functions as a temporal record, allowing the business to audit previous pricing tiers and determine the active list price for any given date by using the StartDate and EndDate range.",395,0,100,No,,
Production,ProductModel,"The Production.ProductModel table serves as the central hub for high-level product definitions, anchoring multi-lingual marketing collateral, technical illustrations, and manufacturing specifications. It groups specific product variants (SKUs) and stores structured XML for cataloging and assembly instructions. The table acts as a relational anchor for externalized visual assets (vector graphics) and localized descriptions, supporting a global consumer-facing product catalog of approximately 127 distinct models.",128,0,100,No,,
Production,ProductModelIllustration,"A junction table that establishes a many-to-many relationship between product models and their corresponding illustrations. It allows multiple diagrams, assembly instructions, or visual layouts to be associated with a single product model, and enables the reuse of a single illustration across different models.",7,0,100,No,,
Production,ProductModelProductDescriptionCulture,"A junction table that facilitates product localization by mapping product models to specific language-based descriptions. It decouples localized marketing text from the core product model, complementing the master XML catalog descriptions stored in the ProductModel table by providing discrete, culture-specific text entries for various regions.",762,0,100,No,,
Production,ProductPhoto,,101,0,,No,,
Production,ProductProductPhoto,A junction table that creates a many-to-many relationship between products and their associated photographs. It specifically identifies which images are assigned to which products and designates which photo serves as the primary visual representation.,504,0,100,No,,
Production,ProductReview,"Stores customer-submitted feedback, ratings, and detailed comments for specific products. This table facilitates a product review system, allowing the company to track customer satisfaction and provide social proof to potential buyers.",4,0,100,No,,
Production,ProductSubcategory,"This table defines specific sub-classifications for products, acting as a secondary level in the product hierarchy between broad categories and individual items. It organizes the company's 504 products into 37 distinct sub-groups, such as 'Road Bikes' or 'Handlebars', enabling granular inventory management and reporting across the entire product catalog.",37,1,100,No,,
Production,ScrapReason,"A lookup table that defines standard reasons for scrapping products or components during the manufacturing process. It allows the production team to categorize and track the causes of material waste and quality failures within work orders. Usage patterns in related tables indicate that scrapping is a relatively rare event, with reasons recorded for only a small fraction of total production activities.",16,0,100,No,,
Production,TransactionHistory,"A central ledger recording all historical movements of products within the inventory system. It tracks stock changes resulting from sales, manufacturing (work orders), and purchasing activities, providing an audit trail for quantity and cost variances.",113443,0,95,No,,
Production,TransactionHistoryArchive,"A central ledger that records all inventory movements and cost changes across the manufacturing, purchasing, and sales processes. It serves as a historical audit trail for every transaction that affects product stock levels or valuation.",89253,0,95,No,,
Production,UnitMeasure,"A foundational lookup table defining standardized units of measure for physical dimensions (e.g., 'CM', 'IN') and mass (e.g., 'LB', 'G', 'OZ') used across manufacturing, inventory, and purchasing. It supports multi-unit manufacturing requirements by distinguishing between consumption units (e.g., 'EA') and bulk procurement units (e.g., 'CTN', 'PAK', 'DZ').",38,0,100,No,,
Production,WorkOrder,"The Production.WorkOrder table tracks the manufacturing process for products. It records the quantity of items to be produced, the actual quantity completed and stocked, and any items scrapped during production along with the reason for failure. It also manages the production schedule via start, end, and due dates.",72591,1,100,No,,
Production,WorkOrderRouting,"This table, Production.WorkOrderRouting, records the specific sequence of manufacturing steps (operations) required to complete a work order. It tracks the schedule, actual execution time, and costs associated with each operation at various work centers (locations) within the facility.",67131,0,100,No,,
Purchasing,ProductVendor,"A junction table that manages the relationship between products and their approved suppliers (vendors). It stores procurement-specific metadata such as lead times, vendor-specific pricing, order quantity constraints, and tracking for the most recent transactions.",460,0,100,No,,
Purchasing,PurchaseOrderDetail,"Stores the individual line items for every purchase order, detailing the specific products requested, their costs, and the quantities received and rejected during the procurement process.",8845,1,100,No,,
Purchasing,PurchaseOrderHeader,"Stores general purchase order information, acting as the header record for procurement transactions with vendors. It tracks the overall status, financial totals, and logistical details for each order placed by the company.",4012,0,100,No,,
Purchasing,ShipMethod,"A shared utility table that defines a unified logistics system for both inbound procurement and outbound sales. It stores shipping service names and their associated pricing models, including a base fee and a variable rate, providing a centralized configuration used across the Purchasing and Sales domains.",5,0,100,No,,
Purchasing,Vendor,"Stores master data for the company's active supplier base. It extends the BusinessEntity model with vendor-level attributes such as credit ratings and preferred status, while delegating product-specific logistical constraints—such as lead times and order quantities—to related tables.",104,0,100,No,,
Sales,CountryRegionCurrency,A junction table that maps countries and regions to their respective local currencies. It facilitates multi-currency support by defining which currency is standard for a specific geographic area.,109,0,100,No,,
Sales,CreditCard,"Stores credit card details as independent payment entities, including card types, numbers, and expiration dates. It functions as a central repository of payment instruments that are linked to individuals via junction tables, allowing for flexible associations where multiple people can be authorized for the same card or one person can manage multiple cards.",19118,0,100,No,,
Sales,Currency,"A master lookup table storing ISO-standard international currency codes and names. It serves as a foundational reference for global commerce, mapping currencies to nearly 100 countries and regions. It provides the basis for exchange rate tracking, specifically supporting financial operations where USD is utilized as the functional base currency for all rate calculations.",105,0,100,No,,
Sales,CurrencyRate,"Stores historical daily exchange rates between a base currency and various foreign currencies to support international sales transactions. While it provides the necessary data for multi-currency reporting, the high null rate for CurrencyRateID in transaction tables indicates that a majority of the business is conducted in a single primary base currency, making this table an optional lookup for non-local orders.",13532,0,100,No,,
Sales,Customer,"The Sales.Customer table serves as a central registry for all entities that purchase products, including individual consumers and retail stores. It functions as a bridge that links specific individuals (from Person.Person) or business entities (from Sales.Store) to a geographic Sales.SalesTerritory and assigns them a unique AccountNumber for tracking sales transactions.",19820,1,100,No,,
Sales,PersonCreditCard,A junction table that links individuals (Person.Person) to their credit cards (Sales.CreditCard). It serves as a mapping layer that allows a single person to manage multiple payment methods for use in the checkout and payment process.,19118,0,100,No,,
Sales,SalesOrderDetail,"The Sales.SalesOrderDetail table stores the individual line items for every sales order in the system. It acts as a child table to Sales.SalesOrderHeader, breaking down a single order into its constituent products, quantities, and prices, while also tracking shipping information and promotional discounts applied to specific items.",121317,1,100,No,,
Sales,SalesOrderHeader,"The Sales.SalesOrderHeader table serves as the primary record for all customer sales transactions. It stores high-level order metadata including transaction dates, shipping details, payment information, and financial totals (tax, freight, and subtotal), while linking to specific customers, sales representatives, and geographic territories.",31465,2,95,No,,
Sales,SalesOrderHeaderSalesReason,"A junction table that associates sales orders with one or more reasons for the purchase. It enables many-to-many relationships between orders and standardized sales reasons, allowing the business to track the effectiveness of promotions, marketing, or other purchase drivers.",27647,0,100,No,,
Sales,SalesPerson,"The Sales.SalesPerson table stores performance metrics, compensation structures, and territory assignments for employees designated as sales representatives. It acts as a specialized extension of the HumanResources.Employee table, tracking financial targets (quotas), incentives (bonuses and commissions), and actual sales performance. While these representatives are assigned to specific geographic regions, they are involved in only a small fraction (approximately 12%) of total sales transactions, as the majority of orders are processed through automated or online channels without direct sales representative intervention.",17,1,98,No,,
Sales,SalesPersonQuotaHistory,"This table tracks the historical sales quotas assigned to sales representatives over time. It allows the organization to monitor how sales targets have evolved for each salesperson, typically on a quarterly basis, providing a longitudinal view of performance expectations.",163,0,100,No,,
Sales,SalesReason,"A lookup table containing seven categories that define why a sales order was placed, such as marketing advertisements, promotions, or product quality. It serves as a master list for categorizing the drivers behind customer purchases and is actively used to tag tens of thousands of transactions across the sales system.",10,0,100,No,,
Sales,SalesTaxRate,The Sales.SalesTaxRate table stores specific sales tax percentages and types associated with geographic regions (states and provinces). It is used by the sales system to calculate the appropriate tax amount for orders based on the customer's location.,29,0,100,No,,
Sales,SalesTerritory,"The Sales.SalesTerritory table defines geographical regions—granularly mapped to states and provinces—used to organize the sales force, track performance, and facilitate tax rate application. It categorizes territories into broad groups and countries, maintains year-to-date and historical financial figures, and serves as the primary organizational unit for assigning multiple salespersons to specific regions.",10,0,99,No,,
Sales,SalesTerritoryHistory,The Sales.SalesTerritoryHistory table tracks the historical and current assignments of salespersons to specific sales territories over time. It allows the organization to maintain a record of which sales representative was responsible for which geographic region during specific date ranges.,17,0,100,No,,
Sales,ShoppingCartItem,Stores individual product line items within a customer's active shopping cart before an order is finalized. It tracks the quantity of specific products and associates them with a unique cart identifier.,3,0,100,No,,
Sales,SpecialOffer,"Stores definitions for promotional discounts and volume-based pricing offers, including discount percentages, validity periods, and quantity requirements. These offers are designed to be mapped to specific products rather than applied globally, allowing for targeted marketing events and category-specific promotions.",16,0,100,No,,
Sales,SpecialOfferProduct,"A junction table that creates a many-to-many relationship between products and special offers. It defines which specific products are eligible for promotional discounts, volume pricing, or seasonal offers, and serves as a strictly enforced validation mechanism to ensure only valid product-promotion combinations are applied to sales orders.",538,0,100,No,,
Sales,Store,"Stores detailed information about the retail stores and wholesale outlets that purchase products from the company. This table defines the commercial (B2B) customer segment, which represents a small but specifically managed portion of the total customer base. It extends the base business entity identity with store-specific attributes, account management assignments, and operational demographics.",701,0,100,No,,
